Name,Episodes,Released Year,Language,Rating,Ranking
Move to Heaven,10,2021,Korean,9.2,10
Weak Hero Class 1,8,2022,Korean,9.1,15
Hospital Playlist Season 2,12,2021,Korean,9.1,16
Nirvana in Fire,54,2015,Chinese,9.1,18
Flower of Evil,16,2020,Korean,9.1,21
Hidden Love,25,2023,Chinese,9.1,24
Hospital Playlist,12,2020,Korean,9.1,25
Alchemy of Souls,20,2022,Korean,9.1,26
Reset,15,2022,Chinese,9.1,31
Reply 1988,20,2015,Korean,9.1,32
My Mister,16,2018,Korean,9,36
When I Fly Towards You,24,2023,Chinese,9,39
1 Litre no Namida,11,2005,Japanese,9,40
Love Like the Galaxy: Part 2,29,2022,Chinese,9,41
Joy of Life,46,2019,Chinese,9,42
Mysterious Lotus Casebook,40,2023,Chinese,9,43
The Untamed,50,2019,Chinese,9,44
Under the Queen's Umbrella,16,2022,Korean,9,46
Someday or One Day,13,2019,Taiwanese,9,47
The Glory Part 2,8,2023,Korean,9,48
Dr. Romantic Season 3,16,2023,Korean,9,49
Love Like the Galaxy: Part 1,27,2022,Chinese,9,50
Crash Landing on You,16,2019,Korean,9,51
Prison Playbook,16,2017,Korean,9,52
Oh No! Here Comes Trouble,12,2023,Taiwanese,9,53
Mr. Queen,20,2020,Korean,9,54
Mother,16,2018,Korean,9,56
Go Ahead,46,2020,Chinese,9,59
Extraordinary Attorney Woo,16,2022,Korean,8.9,61
It's Okay to Not Be Okay,16,2020,Korean,8.9,62
Alchemy of Souls Season 2: Light and Shadow,10,2022,Korean,8.9,64
Navillera,12,2021,Korean,8.9,68
Vincenzo,20,2021,Korean,8.9,73
Signal,16,2016,Korean,8.9,75
The Glory,8,2022,Korean,8.9,77
The Good Bad Mother,14,2023,Korean,8.9,82
Kingdom Season 2,6,2020,Korean,8.9,83
Meet Yourself,40,2023,Chinese,8.9,85
Happiness,12,2021,Korean,8.9,87
The Blood of Youth,40,2022,Chinese,8.9,89
Taxi Driver Season 2,16,2023,Korean,8.9,92
Mr. Sunshine,24,2018,Korean,8.9,94
Tomorrow,16,2022,Korean,8.9,102
Tale of the Nine-Tailed 1938,12,2023,Korean,8.9,105
Hikaru no Go,36,2020,Chinese,8.8,108
Imawa no Kuni no Alice Season 2,8,2022,Japanese,8.8,110
Healer,20,2014,Korean,8.8,114
The Story of Ming Lan,78,2018,Chinese,8.8,115
More than Blue: The Series,10,2021,Taiwanese,8.8,116
Love Between Fairy and Devil,36,2022,Chinese,8.8,117
Mouse,20,2021,Korean,8.8,119
Goblin,16,2016,Korean,8.8,120
Imawa no Kuni no Alice,8,2020,Japanese,8.8,122
Stranger,16,2017,Korean,8.8,125
The Uncanny Counter,16,2020,Korean,8.8,130
The Red Sleeve,17,2021,Korean,8.8,131
Twenty-Five Twenty-One,16,2022,Korean,8.8,135
Eternal Love,58,2017,Chinese,8.8,139
One Piece,8,2023,Japanese,8.8,140
D.P.,6,2021,Korean,8.8,141
SKY Castle,20,2018,Korean,8.8,144
Kingdom,6,2019,Korean,8.8,148
Weightlifting Fairy Kim Bok Joo,16,2016,Korean,8.8,150
Taxi Driver,16,2021,Korean,8.8,151
Missing: The Other Side Season 2,14,2022,Korean,8.8,152
Story of Yanxi Palace,70,2018,Chinese,8.8,158
You Are My Glory,32,2021,Chinese,8.8,167
Youth of May,12,2021,Korean,8.8,170
Through the Darkness,12,2022,Korean,8.8,173
